IAA_Atual,IEG_Atual,IPS_Atual,IPP_Atual,IDA_Atual,Defasagem_Atual,IAA_A-1,IEG_A-1,IPS_A-1,IPP_A-1,IDA_A-1,Defasagem_A-1
8.0,7.1,5.6,6.9,7.5,0,0.0,9.2,7.52,7.34375,5.0,-1.0
9.0,9.5,7.5,7.8,7.8,1,8.5,9.7,3.14,7.5,8.4,0.0
10.0,9.1,7.5,7.5,4.3,1,9.0,8.1,7.52,6.875,6.5,0.0
9.5,8.6,7.5,5.3,6.3,0,8.0,8.8,7.52,6.666666667,5.9,-1.0
8.0,10.0,7.5,8.1,8.8,1,8.0,9.6,6.89,7.5,8.3,0.0
9.0,8.8,6.9,7.5,8.8,0,10.0,6.3,3.77,7.5,5.4,0.0
8.5,9.8,7.5,7.8,8.0,0,8.5,9.5,7.52,7.291666667,6.0,-1.0
10.0,10.0,7.5,8.4,9.5,0,9.5,9.9,7.52,7.5,9.4,-1.0
8.5,9.8,7.5,8.1,6.5,1,9.5,10.0,6.89,7.5,8.5,0.0
10.0,9.5,9.4,7.8,8.0,1,10.0,9.4,6.89,7.5,8.5,0.0
9.0,9.3,7.5,7.5,7.0,0,0.0,9.1,3.77,7.5,7.1,-2.0
9.5,7.8,6.3,5.6,2.5,0,0.0,7.8,3.77,5.625,8.3,-2.0
9.5,9.0,7.5,8.4,7.0,0,0.0,8.3,7.52,7.708333333,5.8,0.0
10.0,9.3,6.3,7.5,7.8,0,0.0,7.9,6.26,6.5625,7.3,-1.0
8.0,8.0,7.5,8.1,5.5,1,9.5,9.9,7.52,7.5,7.3,0.0
9.0,4.5,5.0,7.5,1.0,0,7.9,9.1,2.52,5.0,7.6,-2.0
9.5,4.7,6.3,8.8,7.8,0,0.0,8.2,7.52,6.25,4.8,-1.0
7.9,8.4,7.5,8.4,6.3,0,9.0,9.8,6.89,7.5,9.1,-2.0
10.0,5.4,5.6,7.2,2.0,0,9.5,7.9,3.77,6.25,5.1,-2.0
8.5,9.6,6.3,8.3,6.3,1,10.0,9.5,3.77,6.25,7.4,-1.0
9.5,10.0,6.3,5.8,7.0,1,0.0,9.5,3.77,5.625,6.0,0.0
8.5,7.5,6.3,6.9,7.5,0,9.0,8.5,3.77,5.625,7.9,-1.0
8.5,9.6,5.6,7.3,5.3,0,9.5,9.7,7.52,6.25,7.8,-1.0
8.0,4.8,7.5,6.0,4.5,0,9.0,6.7,2.52,5.3125,3.4,-2.0
8.0,9.3,7.5,9.0,8.0,1,8.0,9.2,7.52,7.5,7.3,0.0
9.0,9.8,7.5,8.8,8.5,1,7.0,9.8,6.89,7.5,7.4,0.0
10.0,8.5,6.3,8.1,8.5,1,9.5,8.8,2.52,7.5,8.0,-1.0
8.5,8.7,7.5,7.9,7.5,1,0.0,8.8,7.52,8.75,8.9,0.0
9.5,9.3,7.5,8.3,8.0,1,9.5,9.0,4.38,7.5,8.2,-1.0
9.0,9.8,7.5,8.3,7.0,0,9.0,10.0,3.77,7.5,6.8,-1.0
8.0,9.3,7.5,8.3,6.5,1,9.0,9.7,3.77,7.5,6.4,-1.0
7.9,4.0,6.3,6.0,0.0,0,7.9,9.5,2.52,5.625,6.4,-2.0
10.0,8.0,7.5,7.3,8.3,0,10.0,7.9,6.27,7.708333333,2.5,-1.0
10.0,7.3,6.9,6.9,7.3,0,8.0,9.3,7.52,8.4375,6.0,0.0
7.5,8.6,5.6,6.5,6.5,0,10.0,9.9,3.14,5.625,6.1,-2.0
9.0,6.4,5.0,5.6,3.5,0,0.0,8.3,6.89,7.5,8.8,-2.0
0.0,4.6,5.0,6.7,6.8,0,8.5,8.4,2.52,5.625,7.1,-2.0
9.0,9.6,7.5,8.5,8.0,0,0.0,8.7,7.52,6.875,9.1,-2.0
8.4,5.3,5.0,5.8,3.8,0,9.5,6.9,4.39,5.625,5.1,-2.0
7.4,8.0,7.5,6.9,6.0,0,10.0,7.9,7.52,5.625,4.9,-2.0
10.0,10.0,7.5,8.9,9.3,0,10.0,8.7,7.52,8.333333333,6.2,0.0
9.5,6.4,7.5,7.3,2.8,0,9.5,9.6,6.27,6.875,6.7,-2.0
9.0,5.5,7.5,6.7,5.8,0,9.0,8.7,3.77,6.875,5.6,-1.0
9.5,8.0,7.5,7.7,4.5,0,10.0,7.7,7.52,8.125,6.3,-1.0
5.8,9.1,6.3,8.6,8.3,0,0.0,9.0,7.52,7.916666667,5.3,0.0
10.0,7.3,7.5,7.5,6.5,0,9.5,5.3,7.52,5.625,5.9,-2.0
10.0,5.8,7.5,7.2,5.5,0,0.0,7.2,7.52,7.291666667,5.5,-1.0
10.0,8.1,5.0,7.1,2.3,0,10.0,8.0,3.14,6.041666667,3.1,-1.0
8.0,10.0,7.5,8.5,8.8,1,8.5,10.0,7.52,8.75,9.8,0.0
9.5,10.0,7.5,8.8,7.8,0,9.5,9.7,7.52,7.5,9.1,-2.0
10.0,6.0,7.5,7.9,6.0,0,10.0,9.3,3.77,7.8125,8.0,-2.0
8.5,9.0,7.5,8.3,3.8,1,10.0,9.4,7.52,7.5,7.5,0.0
7.9,6.0,5.6,8.3,0.0,0,0.0,7.0,7.52,7.8125,3.5,-1.0
10.0,9.0,7.5,8.3,8.5,0,9.0,9.9,7.52,7.5,9.0,-1.0
9.5,10.0,7.5,8.8,8.8,0,9.0,10.0,7.52,9.0625,8.7,0.0
