RA,Fase_2024,INDE_2024,Pedra_2024,Turma_2024,Idade_2024,Genero_2024,Ano_Ingresso_2024,Instituicao_Ensino_2024,IAA_2024,IEG_2024,IPS_2024,IPP_2024,IDA_2024,Mat_2024,Por_2024,Ing_2024,IPV_2024,IAN_2024,Fase_Ideal_2024,Defasagem_2024,Escola_2024,Fase_2023,INDE_2023,Pedra_2023,Turma_2023,Idade_2023,Genero_2023,Ano_Ingresso_2023,Instituicao_Ensino_2023,IAA_2023,IEG_2023,IPS_2023,IPP_2023,IDA_2023,Mat_2023,Por_2023,Ing_2023,IPV_2023,IAN_2023,Fase_Ideal_2023,Defasagem_2023,Fase_2022,Turma_2022,Idade_2022,Genero_2022,Ano_Ingresso_2022,Instituicao_Ensino_2022,Pedra_2022,INDE_2022,Cg_2022,Cf_2022,Ct_2022,Rec_Av1_2022,Rec_Av2_2022,IAA_2022,IEG_2022,IPS_2022,Rec_Psicologia_2022,IDA_2022,Mat_2022,Por_2022,Ing_2022,Indicado_2022,Atingiu_PV_2022,IPV_2022,IAN_2022,Fase_Ideal_2022,Defasagem_2022,Destaque_IEG_2022,Destaque_IDA_2022,Destaque_IPV_2022,IPP_2022
885,ALFA,8.2072,Topázio,ALFA D - G2/G3,9,Masculino,2023,Pública,8.5,10.0,7.5,7.5,8.5,10.0,7.0,0.0,8.3,5.0,Fase 1 (3° e 4° ano),-1,EE Dom Pedro Villas Boas de Souza,ALFA,8.8252,Topázio,ALFA C - G0/G1,7.0,Masculino,2023.0,Pública,9.0,9.8,7.52,7.5,8.7,8.5,8.8,0.0,8.665,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1292,ALFA,6.903162121,Agata,ALFA D - G2/G3,9,Feminino,2024,Pública,7.5,4.8,7.5,7.2,8.3,10.0,6.5,0.0,7.9,5.0,Fase 1 (3° e 4° ano),-1,EE Francisco de Paula Teixeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293,ALFA,8.005023232,Topázio,ALFA D - G2/G3,9,Feminino,2024,Pública,8.0,9.5,7.5,6.9,8.5,8.5,8.5,0.0,8.3,5.0,Fase 1 (3° e 4° ano),-1,EE Dom Pedro Villas Boas de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,ALFA,8.1942,Topázio,ALFA D - G2/G3,8,Masculino,2023,Pública,9.0,10.0,6.9,7.5,8.5,9.0,8.0,0.0,8.3,5.0,Fase 1 (3° e 4° ano),-1,EE Dom Pedro Villas Boas de Souza,ALFA,8.9182,Topázio,ALFA C - G0/G1,7.0,Masculino,2023.0,Pública,9.0,10.0,7.52,7.5,8.8,8.2,9.3,0.0,8.83,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,ALFA,7.949366667,Ametista,ALFA D - G2/G3,10,Masculino,2024,Pública,9.5,10.0,7.5,6.9,7.8,9.0,6.5,0.0,7.6,5.0,Fase 2 (5° e 6° ano),-2,EE Dom Pedro Villas Boas de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,ALFA,6.395389394,Agata,ALFA E - G2/G3,9,Masculino,2023,Pública,8.0,6.9,2.5,6.6,7.5,10.0,5.0,0.0,6.6,5.0,Fase 1 (3° e 4° ano),-1,EE Dom Pedro Villas Boas de Souza,ALFA,7.245,Ametista,ALFA Y - G0/G1,8.0,Masculino,2023.0,Pública,0.0,9.0,3.77,7.5,8.8,8.3,9.2,0.0,7.84,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,ALFA,5.783955981,Quartzo,ALFA E - G2/G3,8,Masculino,2023,Pública,9.0,5.7,2.5,5.0,7.8,8.0,7.5,0.0,4.7,5.0,Fase 1 (3° e 4° ano),-1,EE Dom Pedro Villas Boas de Souza,ALFA,7.6237,Ametista,ALFA Y - G0/G1,7.0,Masculino,2023.0,Pública,9.0,9.6,4.39,5.625,8.3,7.0,9.5,0.0,5.76,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295,ALFA,8.061745455,Topázio,ALFA E - G2/G3,8,Feminino,2024,Pública,10.0,9.5,2.5,7.5,7.5,7.0,8.0,0.0,8.3,10.0,ALFA (1° e 2° ano),0,EE Dom Pedro Villas Boas de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296,ALFA,7.057422222,Ametista,ALFA E - G2/G3,9,Feminino,2024,Pública,9.0,8.4,2.5,7.5,6.5,7.5,5.5,0.0,8.3,5.0,Fase 1 (3° e 4° ano),-1,EM Etelvina Delfim Simões,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,ALFA,4.668434848,Quartzo,ALFA E - G2/G3,8,Masculino,2023,Pública,8.5,3.2,2.5,4.7,5.5,10.0,1.0,0.0,4.3,5.0,Fase 1 (3° e 4° ano),-1,EE Dom Pedro Villas Boas de Souza,ALFA,5.92975,Quartzo,ALFA A - G0/G1,7.0,Masculino,2023.0,Pública,0.0,7.6,3.14,5.9375,6.3,7.0,5.5,0.0,6.26,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297,ALFA,7.620247619,Ametista,ALFA E - G2/G3,8,Masculino,2024,Pública,9.5,9.8,2.5,7.5,9.3,10.0,8.5,0.0,6.8,5.0,Fase 1 (3° e 4° ano),-1,EE Dom Pedro Villas Boas de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,ALFA,6.315972727,Agata,ALFA E - G2/G3,8,Feminino,2023,Pública,8.5,7.9,2.5,6.9,5.3,6.5,4.0,0.0,7.0,5.0,Fase 1 (3° e 4° ano),-1,EE Dom Pedro Villas Boas de Souza,ALFA,8.2582,Topázio,ALFA Y - G0/G1,7.0,Feminino,2023.0,Pública,9.0,9.7,3.77,7.5,8.2,7.7,8.7,0.0,8.255,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,ALFA,6.853080435,Agata,ALFA E - G2/G3,8,Feminino,2023,Pública,9.5,8.4,2.5,7.2,6.5,7.5,5.5,0.0,7.2,5.0,Fase 1 (3° e 4° ano),-1,EE Chácara Florida II,ALFA,6.724,Agata,ALFA B - G2/G3,7.0,Feminino,2023.0,Pública,0.0,9.4,2.52,6.25,6.3,6.3,6.2,0.0,8.585,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,ALFA,8.4192,Topázio,ALFA E - G2/G3,8,Feminino,2023,Pública,9.5,10.0,8.1,7.5,8.8,9.0,8.5,0.0,8.3,5.0,Fase 1 (3° e 4° ano),-1,EM Etelvina Delfim Simões,ALFA,8.6422,Topázio,ALFA C - G0/G1,7.0,Feminino,2023.0,Pública,8.5,9.4,7.52,7.5,8.1,7.6,8.5,0.0,9.0,10.0,ALFA (1° e 2° ano),0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298,ALFA,7.577287995,Ametista,ALFA E - G2/G3,8,Masculino,2024,Pública,9.5,6.6,7.5,7.2,6.8,7.0,6.5,0.0,7.4,10.0,ALFA (1° e 2° ano),0,EE Dom Pedro Villas Boas de Souza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,ALFA,7.069727778,Ametista,ALFA E - G2/G3,10,Masculino,2024,Pública,8.5,7.6,7.5,7.2,6.5,7.0,6.0,0.0,7.1,5.0,Fase 2 (5° e 6° ano),-2,EM Etelvina Delfim Simões,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
